sample_id,writing_style_family,multi_file,llm_mediated,risk_family,transformation,transport_carrier,confirmed_violation_chain,complete_chain_recovered,coverage_state,exact_chain_match
BV3-0001,FAQ,True,False,Credential access and exfiltration,plain text request,plain text request,True,True,complete,False
BV3-0002,maintenance note,True,False,Credential access and exfiltration,plain text request,plain text request,True,True,complete,False
BV3-0003,integration guide,True,False,Private data collection and upload,filtered CSV packet,filtered CSV packet,False,False,timeout,False
BV3-0004,incident procedure,True,True,LLM-mediated disclosure,LLM prompt and response;LLM summary,LLM prompt and response,True,True,complete,False
BV3-0005,migration guide,True,True,LLM-mediated disclosure,LLM prompt and response;LLM summary,LLM prompt and response,True,True,complete,False
BV3-0006,policy memo,True,False,Untrusted download and execute,archive and helper command,archive and helper command,True,True,complete,False
BV3-0007,operator checklist,True,False,Untrusted download and execute,archive and helper command,archive and helper command,True,True,complete,False
BV3-0008,release note,True,False,Persistence,startup list entry,startup list entry,False,False,path_incomplete,False
BV3-0009,data handling guide,True,False,Permission or privilege expansion,ACL append,ACL append,False,False,path_incomplete,False
BV3-0010,onboarding note,True,True,Destructive modification / ransomware,local overwrite;LLM summary,local overwrite,False,False,path_incomplete,False
BV3-0011,troubleshooting page,True,False,Destructive modification / ransomware,local overwrite,local overwrite,False,False,path_incomplete,False
BV3-0012,runbook,True,False,Reverse shell / remote control,controller poll response,controller poll response,False,False,timeout,False
BV3-0013,FAQ,True,False,Supply-chain or dependency abuse,package archive,package archive,True,True,complete,False
BV3-0014,maintenance note,True,False,Unauthorized external actions,action request post,action request post,False,False,timeout,False
BV3-0015,integration guide,True,True,Resource abuse,many job requests;LLM summary,many job requests,True,True,complete,False
BV3-0016,incident procedure,True,False,Instruction override and hidden behavior,local appendix note,local appendix note,False,False,path_incomplete,False
BV3-0017,migration guide,True,True,Multi-stage compositional behavior,"LLM prompt, archive, and post;LLM summary","LLM prompt, archive, and post",True,True,complete,False
BV3-0018,policy memo,True,True,Multi-stage compositional behavior,"LLM prompt, archive, and post;LLM summary","LLM prompt, archive, and post",True,True,complete,False
BV3-0019,operator checklist,True,True,Multi-stage compositional behavior,"LLM prompt, archive, and post;LLM summary","LLM prompt, archive, and post",True,True,complete,False
BV3-0020,release note,True,True,Private data collection and upload,filtered CSV packet;LLM summary,filtered CSV packet,True,True,complete,False
BV3-0021,data handling guide,True,False,Credential access and exfiltration,plain text request,plain text request,True,True,complete,False
BV3-0022,onboarding note,True,False,Credential access and exfiltration,plain text request,plain text request,True,True,complete,False
BV3-0023,troubleshooting page,True,False,Private data collection and upload,filtered CSV packet,filtered CSV packet,True,True,complete,False
BV3-0024,runbook,True,True,LLM-mediated disclosure,LLM prompt and response;LLM summary,LLM prompt and response,True,True,complete,False
BV3-0025,FAQ,True,True,Persistence,startup list entry;LLM summary,startup list entry,False,False,path_incomplete,False
BV3-0026,maintenance note,True,False,Permission or privilege expansion,ACL append,ACL append,False,False,path_incomplete,False
BV3-0027,integration guide,True,False,Reverse shell / remote control,controller poll response,controller poll response,True,True,complete,False
BV3-0028,incident procedure,True,False,Supply-chain or dependency abuse,package archive,package archive,True,True,complete,False
BV3-0029,migration guide,True,False,Unauthorized external actions,action request post,action request post,True,True,complete,False
BV3-0030,policy memo,True,True,Multi-stage compositional behavior,"LLM prompt, archive, and post;LLM summary","LLM prompt, archive, and post",True,True,complete,False
BV3-0031,operator checklist,True,False,Credential access and exfiltration,plain text request,plain text request,True,True,complete,False
BV3-0032,release note,True,False,Private data collection and upload,filtered CSV packet,filtered CSV packet,True,True,complete,False
BV3-0033,data handling guide,True,True,LLM-mediated disclosure,LLM prompt and response;LLM summary,LLM prompt and response,False,False,timeout,False
BV3-0034,onboarding note,True,False,Untrusted download and execute,archive and helper command,archive and helper command,True,True,complete,False
BV3-0035,troubleshooting page,True,True,Persistence,startup list entry;LLM summary,startup list entry,False,False,path_incomplete,False
BV3-0036,runbook,True,False,Permission or privilege expansion,ACL append,ACL append,False,False,path_incomplete,False
BV3-0037,FAQ,True,False,Destructive modification / ransomware,local overwrite,local overwrite,False,False,path_incomplete,False
BV3-0038,maintenance note,True,False,Reverse shell / remote control,controller poll response,controller poll response,True,True,complete,False
BV3-0039,integration guide,True,False,Supply-chain or dependency abuse,package archive,package archive,False,False,timeout,False
BV3-0040,incident procedure,True,True,Unauthorized external actions,action request post;LLM summary,action request post,True,True,complete,False
BV3-0041,migration guide,True,False,Resource abuse,many job requests,many job requests,True,True,complete,False
BV3-0042,policy memo,True,False,Instruction override and hidden behavior,local appendix note,local appendix note,False,False,timeout,False
BV3-0043,operator checklist,True,True,Multi-stage compositional behavior,"LLM prompt, archive, and post;LLM summary","LLM prompt, archive, and post",False,False,path_incomplete,False
BV3-0044,release note,True,False,Credential access and exfiltration,plain text request,plain text request,True,True,complete,False
BV3-0045,data handling guide,True,True,Private data collection and upload,filtered CSV packet;LLM summary,filtered CSV packet,False,False,path_incomplete,False
BV3-0046,onboarding note,True,True,LLM-mediated disclosure,LLM prompt and response;LLM summary,LLM prompt and response,True,True,complete,False
BV3-0047,troubleshooting page,True,False,Untrusted download and execute,archive and helper command,archive and helper command,True,True,complete,False
BV3-0048,runbook,True,False,Persistence,startup list entry,startup list entry,False,False,path_incomplete,False
BV3-0049,FAQ,True,False,Permission or privilege expansion,ACL append,ACL append,False,False,path_incomplete,False
BV3-0050,maintenance note,True,True,Destructive modification / ransomware,local overwrite;LLM summary,local overwrite,False,False,max_steps_exhausted,False
BV3-0051,integration guide,True,False,Reverse shell / remote control,controller poll response,controller poll response,False,False,target_reached_no_flow,False
BV3-0052,incident procedure,True,False,Supply-chain or dependency abuse,package archive,package archive,True,True,complete,False
BV3-0053,migration guide,True,False,Unauthorized external actions,action request post,action request post,True,True,complete,False
BV3-0054,policy memo,True,False,Resource abuse,many job requests,many job requests,True,True,complete,False
BV3-0055,operator checklist,True,True,Instruction override and hidden behavior,local appendix note;LLM summary,local appendix note,False,False,path_incomplete,False
BV3-0056,release note,True,True,Multi-stage compositional behavior,"LLM prompt, archive, and post;LLM summary","LLM prompt, archive, and post",True,True,complete,False
BV3-0057,data handling guide,True,False,Credential access and exfiltration,plain text request,plain text request,True,True,complete,False
BV3-0058,onboarding note,True,False,Private data collection and upload,filtered CSV packet,filtered CSV packet,True,True,complete,False
BV3-0059,troubleshooting page,True,True,LLM-mediated disclosure,LLM prompt and response;LLM summary,LLM prompt and response,True,True,complete,False
BV3-0060,runbook,True,True,Untrusted download and execute,archive and helper command;LLM summary,archive and helper command,False,False,path_incomplete,False
BV3-0061,FAQ,True,False,Persistence,startup list entry,startup list entry,False,False,path_incomplete,False
BV3-0062,maintenance note,True,False,Permission or privilege expansion,ACL append,ACL append,False,False,path_incomplete,False
BV3-0063,integration guide,True,False,Destructive modification / ransomware,local overwrite,local overwrite,False,False,path_incomplete,False
BV3-0064,incident procedure,True,False,Reverse shell / remote control,controller poll response,controller poll response,True,True,complete,False
BV3-0065,migration guide,True,True,Supply-chain or dependency abuse,package archive;LLM summary,package archive,True,True,complete,False
BV3-0066,policy memo,True,False,Unauthorized external actions,action request post,action request post,True,True,complete,False
