sample_id,expected_outcome,predicted_label,source_match,sink_match,relay_match,exact_chain_match,minimal_witness_match,predicted_chain_count,coverage_state
PB-001,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-002,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-003,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-004,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-005,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-006,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-007,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-008,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-009,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-010,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-011,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-012,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-013,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-014,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-015,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-016,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-017,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-018,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-019,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-020,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-021,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-022,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-023,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-024,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-025,confirmed_violation,malicious,True,False,False,False,False,2,path_incomplete
PB-026,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-027,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-028,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-029,confirmed_violation,malicious,True,True,False,False,False,1,complete
