sample_id,expected_label,expected_outcome,risk_family,static_prediction,full_prediction,static_correct,full_correct,coverage_state,risk_chain_status,security_resolution_status,transition_reason
BV3-0001,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0002,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0003,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0004,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0005,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0006,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0007,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0008,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0009,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0010,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0011,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0012,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0013,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0014,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0015,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0016,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0017,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0018,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0019,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0020,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0021,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0022,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0023,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0024,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0025,malicious,confirmed_violation,Persistence,malicious,malicious,True,True,path_incomplete,confirmed_allowed,unresolved_execution,same_or_non_decisive_transition
BV3-0026,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0027,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0028,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0029,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0030,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0031,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0032,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0033,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0034,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0035,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0036,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0037,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0038,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0039,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0040,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0041,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0042,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
