skill_id,name,skill_root,status,risk_level_name,risk_level,risk_score,final_risk_level,severity_label,evidence_strength,execution_outcome,skip_reason,skip_category,selected_execution_profile,recommended_execution_profile,execution_feasibility,root_cause,root_cause_detail,root_cause_v2_mechanism_class,root_cause_v2_primary_driver,root_cause_v2_evidence_status,detected_behaviors,capability_tags,llm_enabled,started_at,finished_at
mnt_e_dangerous_skills_a2a-x402-wallet_skills_a2a-wallet,a2a-wallet,/mnt/e/dangerous_skills/a2a-x402-wallet/skills/a2a-wallet,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,browser_lightweight,browser_lightweight,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_browser|requires_web_platform|requires_oauth_or_login|requires_external_api_key,True,2026-04-27T03:00:46.041665+00:00,2026-04-27T03:00:46.041689+00:00
mnt_e_dangerous_skills_abund.ai,abund-ai,/mnt/e/dangerous_skills/abund.ai,completed,严重风险,critical,100,critical,severe_risk,chain_backed,completed_full,,,deep_execution,deep_execution,conditional,llm_decision,llm_decision_induced_action,unsafe_dataflow_design,mixed,trigger_incomplete,file_write|network_access,requires_web_platform|requires_external_api_key|requires_long_horizon_task|requires_user_supplied_artifact|requires_interactive_prompting|requires_local_helper_tooling,True,2026-04-27T03:00:46.276598+00:00,2026-04-27T03:01:07.790576+00:00
mnt_e_dangerous_skills_acontext-skills_acontext-agent-integration,acontext-agent-integration,/mnt/e/dangerous_skills/acontext-skills/acontext-agent-integration,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,process_spawn|shell_execution,requires_web_platform|requires_external_api_key|requires_long_horizon_task|requires_local_helper_tooling,True,2026-04-27T03:01:08.052799+00:00,2026-04-27T03:01:33.487982+00:00
mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,after-effects,/mnt/e/dangerous_skills/adobe-agent-skills/skills/after-effects,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,file_write|process_spawn|shell_execution,requires_web_platform|requires_interactive_prompting|requires_local_helper_tooling|requires_document_or_office_stack,True,2026-04-27T03:01:33.804357+00:00,2026-04-27T03:01:45.043223+00:00
mnt_e_dangerous_skills_adr-skill_skills_adr-skill,adr-skill,/mnt/e/dangerous_skills/adr-skill/skills/adr-skill,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,ready,unknown,unknown,ambiguous_connected_workflow,mixed,trigger_incomplete,process_spawn,requires_web_platform|requires_long_horizon_task|requires_local_helper_tooling,True,2026-04-27T03:01:45.487385+00:00,2026-04-27T03:02:22.954271+00:00
mnt_e_dangerous_skills_adversarial-spec_skills_adversarial-spec,adversarial-spec,/mnt/e/dangerous_skills/adversarial-spec/skills/adversarial-spec,skipped,,,,medium,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_oauth_or_login|requires_external_api_key|requires_long_horizon_task|requires_interactive_prompting|requires_local_helper_tooling|requires_document_or_office_stack|requires_messaging_stack,True,2026-04-27T03:02:24.341231+00:00,2026-04-27T03:02:24.341262+00:00
mnt_e_dangerous_skills_afterself,afterself,/mnt/e/dangerous_skills/afterself,completed,低风险,low,0,low,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_browser|requires_web_platform|requires_external_api_key|requires_callback_or_webhook|requires_long_horizon_task|requires_user_supplied_artifact|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:02:24.791180+00:00,2026-04-27T03:02:40.282533+00:00
mnt_e_dangerous_skills_agent-browser-relay,agent-browser-relay,/mnt/e/dangerous_skills/agent-browser-relay,completed,低风险,low,0,low,benign_like,partial,completed_full,,,browser_lightweight,browser_lightweight,ready,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_browser|requires_web_platform|requires_local_helper_tooling,True,2026-04-27T03:02:40.590220+00:00,2026-04-27T03:02:52.759503+00:00
mnt_e_dangerous_skills_agent-chat,agent-chat,/mnt/e/dangerous_skills/agent-chat,completed,低风险,low,0,critical,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_browser|requires_web_platform|requires_long_horizon_task|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:02:53.008298+00:00,2026-04-27T03:03:06.392008+00:00
mnt_e_dangerous_skills_agent-credit,agent-credit,/mnt/e/dangerous_skills/agent-credit,completed,低风险,low,0,medium,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_external_api_key|requires_long_horizon_task,True,2026-04-27T03:03:06.585747+00:00,2026-04-27T03:03:15.086402+00:00
