sample_id,stratum,skill_id,skill_name,skill_root,status,risk_level,risk_score,execution_outcome,primary_chain_nonempty,primary_chain_length,predicted_root_cause,predicted_behaviors,cluster_tag,suspected_fp_type,candidate_manual_label,manual_label,manual_root_cause,manual_notes,review_priority,needs_manual_review,annotation_status,artifact_dir
S001,chain_backed_critical,mnt_e_dangerous_skills_abund.ai,abund-ai,/mnt/e/dangerous_skills/abund.ai,completed,critical,100,completed_full,True,3,llm_decision_induced_action,"file_write, network_access",llm_decision_heavy,llm_mediated_workflow,likely_needs_review,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/d364e1fca8284c2ca87f95148fe9d986
S002,chain_backed_critical,mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,after-effects,/mnt/e/dangerous_skills/adobe-agent-skills/skills/after-effects,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn, shell_execution",llm_decision_heavy,llm_mediated_workflow,likely_needs_review,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/a3da41a4efaa4bf49dd5656f612392b4
S003,chain_backed_critical,mnt_e_dangerous_skills_afterself,afterself,/mnt/e/dangerous_skills/afterself,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",llm_decision_heavy,llm_mediated_workflow,likely_needs_review,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/6be9d9d899a34b77a5a95a95a7dd4042
S004,chain_backed_critical,mnt_e_dangerous_skills_agent-chat,agent-chat,/mnt/e/dangerous_skills/agent-chat,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",llm_decision_heavy,llm_mediated_workflow,likely_needs_review,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/f5f62661aaec4461ac685da4aa5baa34
S005,chain_backed_critical,mnt_e_dangerous_skills_agent-deep-research,deep-research,/mnt/e/dangerous_skills/agent-deep-research,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn, shell_execution",llm_decision_heavy,llm_mediated_workflow,likely_needs_review,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/8d67374fdfcd4cb8ba252c4e7858e8fe
S006,partial_evidence_medium,mnt_e_dangerous_skills_acontext-skills_acontext-agent-integration,acontext-agent-integration,/mnt/e/dangerous_skills/acontext-skills/acontext-agent-integration,completed,medium,25,completed_full,False,0,llm_decision_induced_action,network_access,llm_decision_heavy,llm_mediated_workflow,,,,,medium,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/de16bfa099e04ce0b6f84234629ba810
S007,partial_evidence_medium,mnt_e_dangerous_skills_adr-skill_skills_adr-skill,adr-skill,/mnt/e/dangerous_skills/adr-skill/skills/adr-skill,completed,medium,25,completed_full,False,0,llm_decision_induced_action,network_access,llm_decision_heavy,llm_mediated_workflow,,,,,medium,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/32f5147e49e14be1be20b6f4321ccf79
S008,partial_evidence_medium,mnt_e_dangerous_skills_agent-browser-relay,agent-browser-relay,/mnt/e/dangerous_skills/agent-browser-relay,completed,medium,25,completed_full,False,0,llm_decision_induced_action,network_access,upload_or_mirror_outward,upload_sync_relay_surface,,,,,medium,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/6d1a5b18d8d2490c9d299bc54fcf1422
S009,partial_evidence_medium,mnt_e_dangerous_skills_agent-credit,agent-credit,/mnt/e/dangerous_skills/agent-credit,completed,medium,25,completed_full,False,0,llm_decision_induced_action,network_access,llm_decision_heavy,llm_mediated_workflow,,,,,medium,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/99aa0d9894a641508c1da846b3806e6a
S010,partial_evidence_medium,mnt_e_dangerous_skills_agent-mode_skills_post-bridge,post-bridge,/mnt/e/dangerous_skills/agent-mode/skills/post-bridge,completed,medium,25,completed_full,False,0,llm_decision_induced_action,network_access,upload_or_mirror_outward,upload_sync_relay_surface,,,,,medium,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/b9b8d67320064f16931ff0e3e12170c5
S011,note_like_fp_cluster,mnt_e_dangerous_skills_ahok-skill,ahok-memory,/mnt/e/dangerous_skills/ahok-skill,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/66c052948a30469d9676e32331a14cba
